[04:37:30] [HACKER] 

 ▐ ▄ ▄▄▄ . ▐ ▄  ▄· ▄▌                  
•█▌▐█▀▄.▀·•█▌▐█▐█▪██▌▪     ▪     ▪     
▐█▐▐▌▐▀▀▪▄▐█▐▐▌▐█▌▐█▪ ▄█▀▄  ▄█▀▄  ▄█▀▄ 
██▐█▌▐█▄▄▌██▐█▌ ▐█▀·.▐█▌.▐▌▐█▌.▐▌▐█▌.▐▌
▀▀ █▪ ▀▀▀ ▀▀ █▪  ▀ •  ▀█▄▀▪ ▀█▄▀▪ ▀█▄▀▪

[04:37:32] [INFO]   Free Polished Menu Loaded.
[04:37:32] [INFO]   Waiting for GTA 5 to load.
[04:37:46] [INFO]   Great game running!!.
[04:37:46] [INFO]   Saved Config Loaded.
[04:37:47] [INFO]   Global fiber loaded.
[04:37:47] [INFO]   Online fiber loaded.
[04:37:47] [INFO]   Players fiber loaded.
[04:37:47] [INFO]   Self fiber loaded.
[04:37:47] [INFO]   Unk fiber loaded.
[04:37:47] [INFO]   Spooner fiber loaded.
[04:37:47] [INFO]   Weapons fiber loaded.
[04:37:47] [INFO]   Vehicle fiber loaded.
[04:37:47] [INFO]   Teleport fiber loaded.
[04:37:47] [INFO]   Misc fiber loaded.
[04:37:47] [INFO]   SCP fiber loaded.
